"id","order_id","product_id","quantity","total","updated_at","created_at"
"15","10","2","1","15","2025-04-21 13:56:11","2025-04-21 13:56:11"
"16","10","3","2","20","2025-04-21 13:56:11","2025-04-21 13:56:11"
"17","11","2","2","30","2025-04-21 13:57:34","2025-04-21 13:57:34"
"18","11","3","2","20","2025-04-21 13:57:34","2025-04-21 13:57:34"
"19","12","2","2","30","2025-04-21 13:58:15","2025-04-21 13:58:15"
"20","12","3","1","10","2025-04-21 13:58:15","2025-04-21 13:58:15"
"21","13","2","5","75","2025-04-22 09:45:06","2025-04-22 09:45:06"
"22","13","3","3","30","2025-04-22 09:45:06","2025-04-22 09:45:06"
"23","14","2","3","45","2025-04-22 13:17:24","2025-04-22 13:17:24"
"24","14","3","6","60","2025-04-22 13:17:24","2025-04-22 13:17:24"
"25","15","2","10","150","2025-04-23 13:22:53","2025-04-23 13:22:53"
"26","15","3","5","50","2025-04-23 13:22:53","2025-04-23 13:22:53"
"27","16","2","3","45","2025-04-23 14:30:47","2025-04-23 14:30:47"
"28","16","3","3","30","2025-04-23 14:30:47","2025-04-23 14:30:47"
"29","17","2","3","45","2025-04-24 09:15:59","2025-04-24 09:15:59"
"30","17","3","3","30","2025-04-24 09:15:59","2025-04-24 09:15:59"
"31","18","2","5","75","2025-04-24 10:24:13","2025-04-24 10:24:13"
"32","18","3","7","70","2025-04-24 10:24:13","2025-04-24 10:24:13"
"33","19","2","3","45","2025-04-24 10:45:49","2025-04-24 10:45:49"
"34","19","3","7","70","2025-04-24 10:45:49","2025-04-24 10:45:49"
"35","20","2","5","75","2025-04-24 10:47:33","2025-04-24 10:47:33"
"36","20","3","11","110","2025-04-24 10:47:33","2025-04-24 10:47:33"
"37","21","2","3","45","2025-04-24 11:16:43","2025-04-24 11:16:43"
"38","21","3","3","30","2025-04-24 11:16:43","2025-04-24 11:16:43"
"39","23","2","2","30","2025-04-24 11:18:51","2025-04-24 11:18:51"
"40","23","3","2","20","2025-04-24 11:18:51","2025-04-24 11:18:51"
"41","22","2","2","30","2025-04-24 11:18:51","2025-04-24 11:18:51"
"42","22","3","2","20","2025-04-24 11:18:51","2025-04-24 11:18:51"
"43","24","2","2","30","2025-04-24 11:18:51","2025-04-24 11:18:51"
"44","24","3","2","20","2025-04-24 11:18:51","2025-04-24 11:18:51"
"45","25","2","5","75","2025-04-24 11:19:34","2025-04-24 11:19:34"
"46","25","3","27","270","2025-04-24 11:19:34","2025-04-24 11:19:34"
"47","26","2","3","45","2025-04-24 11:19:39","2025-04-24 11:19:39"
"48","26","3","3","30","2025-04-24 11:19:39","2025-04-24 11:19:39"
"49","27","2","3","45","2025-04-24 11:30:25","2025-04-24 11:30:25"
"50","27","3","3","30","2025-04-24 11:30:25","2025-04-24 11:30:25"
"51","28","2","2","30","2025-04-24 11:37:41","2025-04-24 11:37:41"
"52","28","3","1","10","2025-04-24 11:37:41","2025-04-24 11:37:41"
"53","28","4","1","10","2025-04-24 11:37:41","2025-04-24 11:37:41"
"54","29","2","3","45","2025-04-24 11:37:57","2025-04-24 11:37:57"
"55","29","3","3","30","2025-04-24 11:37:57","2025-04-24 11:37:57"
"56","29","4","3","30","2025-04-24 11:37:57","2025-04-24 11:37:57"
"57","30","2","3","45","2025-04-24 11:55:55","2025-04-24 11:55:55"
"58","30","3","3","30","2025-04-24 11:55:55","2025-04-24 11:55:55"
"59","30","4","3","30","2025-04-24 11:55:55","2025-04-24 11:55:55"
"60","31","2","1","15","2025-04-24 12:20:41","2025-04-24 12:20:41"
"61","31","3","1","10","2025-04-24 12:20:41","2025-04-24 12:20:41"
"62","31","4","3","30","2025-04-24 12:20:41","2025-04-24 12:20:41"
"63","32","2","1","15","2025-04-24 12:20:41","2025-04-24 12:20:41"
"64","32","3","1","10","2025-04-24 12:20:41","2025-04-24 12:20:41"
"65","32","4","3","30","2025-04-24 12:20:41","2025-04-24 12:20:41"
"66","33","2","3","45","2025-04-24 12:23:02","2025-04-24 12:23:02"
"67","33","3","3","30","2025-04-24 12:23:02","2025-04-24 12:23:02"
"68","34","2","1","15","2025-04-24 16:51:17","2025-04-24 16:51:17"
"69","34","3","2","20","2025-04-24 16:51:17","2025-04-24 16:51:17"
"70","34","6","1","35","2025-04-24 16:51:17","2025-04-24 16:51:17"
"71","35","2","1","15","2025-04-24 16:51:18","2025-04-24 16:51:18"
